HEADERS	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15
F01	0	0	1	0	1	1	1	1	0	1	1	1	1	0	0
F02	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0
F03	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
F04	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0
F05	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0
F06	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1
F07	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0
F08	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0
F09	0	1	0	1	0	0	1	1	1	0	1	1	1	0	0
F11	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1
F10	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0
F12	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0
F13	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1
F14	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
F15	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
